time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
0.0,0.0,0.0,0.0,100.0,100.0,0.0
10.0224,2360.0,0.0,0.0,-3.61,100.0,0.000243
20.0448,2650.0,0.0,0.0,-0.00712,100.0,0.000355
30.0672,2780.0,0.0,0.0,-0.285,100.0,0.000646
40.0896,2840.0,0.0,0.0,-0.782,100.0,0.00185
50.112,2870.0,0.0,0.0,-1.5,100.0,0.00289
60.1344,3400.0,0.0,0.0,-313.0,100.0,-0.0105
70.1568,3220.0,0.0,0.0,-59.7,100.0,0.00264
80.1792,3050.0,0.0,0.0,54.7,100.0,0.424
90.2016,2820.0,0.0,0.0,97.6,100.0,1.13
100.224,2770.0,0.0,0.0,30.5,100.0,1.05
110.246,2790.0,0.0,0.0,-18.3,100.0,0.501
120.269,2880.0,0.0,0.0,-30.1,100.0,0.129
130.291,2930.0,0.0,0.0,-23.5,100.0,-0.0771
140.314,2940.0,0.0,0.0,-6.42,100.0,-0.21
150.336,2900.0,0.0,0.0,15.3,100.0,-0.349
160.358,2840.0,0.0,0.0,19.5,100.0,-0.289
170.381,2830.0,0.0,0.0,6.65,100.0,-0.139
180.403,2860.0,0.0,0.0,-9.34,100.0,-0.0405
190.426,2920.0,0.0,0.0,-23.7,100.0,-0.00734
200.448,2990.0,0.0,0.0,-27.5,100.0,0.0663
210.47,3020.0,0.0,0.0,-14.6,100.0,0.166
220.493,2960.0,0.0,0.0,21.6,100.0,0.426
230.515,2860.0,0.0,0.0,38.5,100.0,0.675
240.538,2810.0,0.0,0.0,20.9,100.0,0.683
250.56,2820.0,0.0,0.0,0.493,100.0,0.474
260.582,2850.0,0.0,0.0,-10.4,100.0,0.216
270.605,2870.0,0.0,0.0,-8.82,100.0,0.104
280.627,2880.0,0.0,0.0,-4.53,100.0,-0.0183
290.65,2880.0,0.0,0.0,-0.526,100.0,-0.0122
300.672,2880.0,0.0,0.0,0.445,100.0,-0.0137
310.694,2880.0,0.0,0.0,-2.48,100.0,-0.00957
320.717,2910.0,0.0,0.0,-8.0,100.0,0.0506
330.739,2930.0,0.0,0.0,-12.2,100.0,0.0888
340.762,2960.0,0.0,0.0,-11.9,100.0,0.132
350.784,2960.0,0.0,0.0,-0.244,100.0,0.282
360.806,2920.0,0.0,0.0,16.8,100.0,0.456
370.829,2870.0,0.0,0.0,20.9,100.0,0.566
380.851,2840.0,0.0,0.0,10.8,100.0,0.536
390.874,2840.0,0.0,0.0,0.902,100.0,0.407
400.896,2860.0,0.0,0.0,-5.38,100.0,0.231
410.918,2870.0,0.0,0.0,-4.97,100.0,0.161
420.941,2880.0,0.0,0.0,-3.7,100.0,0.123
430.963,2890.0,0.0,0.0,-3.9,100.0,0.104
440.986,2900.0,0.0,0.0,-5.13,100.0,0.111
451.008,2920.0,0.0,0.0,-7.11,100.0,0.127
461.03,2940.0,0.0,0.0,-8.68,100.0,0.158
471.053,2950.0,0.0,0.0,-3.26,100.0,0.267
481.075,2940.0,0.0,0.0,3.26,100.0,0.401
491.098,2910.0,0.0,0.0,10.5,100.0,0.533
501.12,2890.0,0.0,0.0,10.6,100.0,0.609
511.142,2880.0,0.0,0.0,5.53,100.0,0.608
