time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
0.0,0.0,0.0,0.0
10.0224,0.000228,0.0,0.0
20.0448,0.000804,0.0,0.0
30.0672,0.00143,0.0,0.0
40.0896,0.00207,0.0,0.0
50.112,0.00273,0.0,0.0
60.1344,0.00339,0.0,0.0
70.1568,0.00403,0.0,0.0
80.1792,0.00471,0.0,0.0
90.2016,0.00539,0.0,0.0
100.224,0.00606,0.0,0.0
110.246,0.0067,0.0,0.0
120.269,0.00734,0.0,0.0
130.291,0.00799,0.0,0.0
140.314,0.00866,0.0,0.0
150.336,0.00935,0.0,0.0
160.358,0.01,0.0,0.0
170.381,0.0107,0.0,0.0
180.403,0.0114,0.0,0.0
190.426,0.012,0.0,0.0
200.448,0.0126,0.0,0.0
210.47,0.0133,0.0,0.0
220.493,0.0139,0.0,0.0
230.515,0.0146,0.0,0.0
240.538,0.0153,0.0,0.0
250.56,0.0159,0.0,0.0
260.582,0.0166,0.0,0.0
270.605,0.0172,0.0,0.0
280.627,0.0179,0.0,0.0
290.65,0.0185,0.0,0.0
300.672,0.0192,0.0,0.0
310.694,0.0199,0.0,0.0
320.717,0.0206,0.0,0.0
330.739,0.0212,0.0,0.0
340.762,0.0219,0.0,0.0
350.784,0.0225,0.0,0.0
360.806,0.0232,0.0,0.0
370.829,0.0238,0.0,0.0
380.851,0.0245,0.0,0.0
390.874,0.0251,0.0,0.0
400.896,0.0258,0.0,0.0
410.918,0.0264,0.0,0.0
420.941,0.0271,0.0,0.0
430.963,0.0278,0.0,0.0
440.986,0.0284,0.0,0.0
451.008,0.0291,0.0,0.0
461.03,0.0297,0.0,0.0
471.053,0.0304,0.0,0.0
481.075,0.0311,0.0,0.0
491.098,0.0317,0.0,0.0
501.12,0.0324,0.0,0.0
511.142,0.033,0.0,0.0
521.165,0.0337,0.0,0.0
531.187,0.0343,0.0,0.0
541.21,0.035,0.0,0.0
551.232,0.0356,0.0,0.0
561.254,0.0363,0.0,0.0
571.277,0.037,0.0,0.0
581.299,0.0376,0.0,0.0
591.322,0.0383,0.0,0.0
601.344,0.0389,0.0,0.0
611.366,0.0396,0.0,0.0
621.389,0.0402,0.0,0.0
631.411,0.0409,0.0,0.0
641.434,0.0416,0.0,0.0
651.456,0.0422,0.0,0.0
661.478,0.0429,0.0,0.0
671.501,0.0435,0.0,0.0
681.523,0.0442,0.0,0.0
691.546,0.0449,0.0,0.0
701.568,0.0455,0.0,0.0
711.59,0.0462,0.0,0.0
721.613,0.0469,0.0,0.0
731.635,0.0475,0.0,0.0
741.658,0.0482,0.0,0.0
751.68,0.0488,0.0,0.0
761.702,0.0495,0.0,0.0
771.725,0.0502,0.0,0.0
781.747,0.0509,0.0,0.0
791.77,0.0515,0.0,0.0
801.792,0.0522,0.0,0.0
811.814,0.0529,0.0,0.0
821.837,0.0536,0.0,0.0
831.859,0.0543,0.0,0.0
841.882,0.055,0.0,0.0
851.904,0.0558,0.0,0.0
861.926,0.0566,0.0,0.0
871.949,0.0575,0.0,0.0
881.971,0.0585,0.0,0.0
891.994,0.0593,0.0,0.0
902.016,0.0603,0.0,0.0
912.038,0.0614,0.0,0.0
922.061,0.0626,0.0,0.0
932.083,0.064,0.0,0.0
942.106,0.0652,0.0,0.0
952.128,0.0661,0.0,0.0
962.15,0.0667,0.0,0.0
972.173,0.0676,0.0,0.0
982.195,0.0685,0.0,0.0
992.218,0.0695,0.0,0.0
1002.24,0.0704,0.0,0.0
1012.26,0.0712,0.0,0.0
1022.28,0.0721,0.0,0.0
1032.31,0.073,0.0,0.0
1042.33,0.0739,0.0,0.0
1052.35,0.0748,0.0,0.0
1062.37,0.0757,0.0,0.0
1072.4,0.0766,0.0,0.0
1082.42,0.0775,0.0,0.0
1092.44,0.0784,0.0,0.0
1102.46,0.0793,0.0,0.0
1112.49,0.0802,0.0,0.0
1122.51,0.0811,0.0,0.0
1132.53,0.082,0.0,0.0
1142.55,0.0829,0.0,0.0
1152.58,0.0842,0.0,0.0
1162.6,0.0857,0.0,0.0
