time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
0.0,0.0,0.0,0.0,100.0,100.0,0.0
10.0224,2360.0,0.0,0.0,-4.15,100.0,-7.76e-05
20.0448,2660.0,0.0,0.0,-2.08,100.0,-0.000757
30.0672,2800.0,0.0,0.0,-4.44,100.0,-0.00512
40.0896,2870.0,0.0,0.0,-6.03,100.0,-0.0174
50.112,2900.0,0.0,0.0,-4.47,100.0,-0.0364
60.1344,1400.0,0.0,0.0,1220.0,100.0,-0.046
70.1568,2920.0,0.0,0.0,-42.8,100.0,-0.00163
80.1792,3010.0,0.0,0.0,-35.7,100.0,0.0269
90.2016,2990.0,0.0,0.0,2.18,100.0,0.191
100.224,2870.0,0.0,0.0,41.1,100.0,0.499
110.246,2790.0,0.0,0.0,29.9,100.0,0.598
120.269,2810.0,0.0,0.0,-2.42,100.0,0.326
130.291,2880.0,0.0,0.0,-24.0,100.0,0.04
140.314,2980.0,0.0,0.0,-39.2,100.0,-0.0547
150.336,3070.0,0.0,0.0,-33.1,100.0,-0.443
160.358,3020.0,0.0,0.0,11.6,100.0,-0.915
170.381,2880.0,0.0,0.0,51.5,100.0,-0.91
180.403,2780.0,0.0,0.0,37.0,100.0,-0.525
190.426,2790.0,0.0,0.0,3.69,100.0,-0.21
200.448,2840.0,0.0,0.0,-15.3,100.0,-0.0649
210.47,2880.0,0.0,0.0,-16.5,100.0,-0.00801
220.493,2910.0,0.0,0.0,-12.8,100.0,0.00609
230.515,2920.0,0.0,0.0,-4.03,100.0,0.0615
240.538,2900.0,0.0,0.0,7.55,100.0,0.153
250.56,2860.0,0.0,0.0,12.8,100.0,0.217
260.582,2850.0,0.0,0.0,6.66,100.0,0.185
270.605,2860.0,0.0,0.0,-2.74,100.0,0.081
280.627,2890.0,0.0,0.0,-10.8,100.0,0.00383
290.65,2940.0,0.0,0.0,-19.7,100.0,-0.0423
300.672,2990.0,0.0,0.0,-19.5,100.0,-0.25
310.694,2980.0,0.0,0.0,-0.736,100.0,-0.54
320.717,2920.0,0.0,0.0,24.1,100.0,-0.657
330.739,2840.0,0.0,0.0,29.2,100.0,-0.514
340.762,2820.0,0.0,0.0,12.3,100.0,-0.292
350.784,2830.0,0.0,0.0,-3.2,100.0,-0.134
360.806,2860.0,0.0,0.0,-9.07,100.0,-0.0487
370.829,2880.0,0.0,0.0,-7.73,100.0,-0.00876
380.851,2890.0,0.0,0.0,-4.68,100.0,0.000593
390.874,2890.0,0.0,0.0,-1.06,100.0,0.0166
400.896,2880.0,0.0,0.0,2.17,100.0,0.0415
410.918,2880.0,0.0,0.0,3.36,100.0,0.0548
420.941,2870.0,0.0,0.0,1.87,100.0,0.043
430.963,2880.0,0.0,0.0,-1.3,100.0,0.0146
440.986,2890.0,0.0,0.0,-5.91,100.0,-0.000521
451.008,2910.0,0.0,0.0,-9.18,100.0,-0.0384
461.03,2930.0,0.0,0.0,-6.38,100.0,-0.148
471.053,2920.0,0.0,0.0,2.0,100.0,-0.284
481.075,2890.0,0.0,0.0,10.5,100.0,-0.359
491.098,2860.0,0.0,0.0,12.1,100.0,-0.334
501.12,2850.0,0.0,0.0,6.15,100.0,-0.243
511.142,2850.0,0.0,0.0,-0.114,100.0,-0.141
521.165,2870.0,0.0,0.0,-3.8,100.0,-0.0606
531.187,2880.0,0.0,0.0,-4.71,100.0,-0.0126
541.21,2890.0,0.0,0.0,-4.83,100.0,0.000647
551.232,2900.0,0.0,0.0,-4.24,100.0,0.0314
561.254,2900.0,0.0,0.0,-2.08,100.0,0.106
571.277,2900.0,0.0,0.0,1.48,100.0,0.207
581.299,2890.0,0.0,0.0,4.34,100.0,0.295
591.322,2880.0,0.0,0.0,4.6,100.0,0.333
601.344,2870.0,0.0,0.0,2.43,100.0,0.308
611.366,2870.0,0.0,0.0,0.277,100.0,0.244
621.389,2870.0,0.0,0.0,-0.984,100.0,0.18
631.411,2880.0,0.0,0.0,-1.36,100.0,0.132
641.434,2880.0,0.0,0.0,-1.43,100.0,0.112
651.456,2890.0,0.0,0.0,-1.99,100.0,0.121
661.478,2890.0,0.0,0.0,-3.16,100.0,0.171
671.501,2900.0,0.0,0.0,-4.79,100.0,0.289
681.523,2920.0,0.0,0.0,-5.62,100.0,0.506
691.546,2930.0,0.0,0.0,-4.09,100.0,0.839
701.568,2930.0,0.0,0.0,-0.197,100.0,1.26
711.59,2920.0,0.0,0.0,3.51,100.0,1.67
721.613,2910.0,0.0,0.0,4.26,100.0,1.99
731.635,2900.0,0.0,0.0,1.85,100.0,2.21
741.658,2910.0,0.0,0.0,-1.95,100.0,2.39
751.68,2920.0,0.0,0.0,-5.63,100.0,2.65
761.702,2940.0,0.0,0.0,-8.54,100.0,3.13
771.725,2970.0,0.0,0.0,-10.0,100.0,3.92
781.747,2990.0,0.0,0.0,-9.23,100.0,5.1
791.77,3010.0,0.0,0.0,-6.51,100.0,6.61
801.792,3020.0,0.0,0.0,-4.08,100.0,8.36
811.814,3030.0,0.0,0.0,-4.38,100.0,10.3
821.837,3050.0,0.0,0.0,-7.57,100.0,12.4
831.859,3080.0,0.0,0.0,-12.0,100.0,14.9
841.882,3220.0,0.0,0.0,-57.8,100.0,18.6
851.904,3520.0,0.0,0.0,-114.0,100.0,26.3
861.926,3860.0,0.0,0.0,-135.0,100.0,42.1
871.949,4050.0,0.0,0.0,-82.1,100.0,67.0
881.971,3990.0,0.0,0.0,12.7,100.0,96.6
891.994,3790.0,0.0,0.0,55.2,100.0,121.0
902.016,4390.0,0.0,0.0,-210.0,100.0,145.0
912.038,5290.0,0.0,0.0,-349.0,100.0,198.0
922.061,5840.0,0.0,0.0,-222.0,100.0,291.0
932.083,5630.0,0.0,0.0,59.0,100.0,397.0
942.106,4820.0,0.0,0.0,313.0,100.0,463.0
952.128,3220.0,0.0,0.0,695.0,100.0,446.0
962.15,3080.0,0.0,0.0,7.22,100.0,309.0
972.173,3970.0,0.0,0.0,-291.0,100.0,241.0
982.195,4410.0,0.0,0.0,-186.0,100.0,271.0
992.218,4040.0,0.0,0.0,104.0,100.0,322.0
1002.24,3700.0,0.0,0.0,118.0,100.0,324.0
1012.26,3790.0,0.0,0.0,-18.2,100.0,302.0
1022.28,3970.0,0.0,0.0,-58.5,100.0,297.0
1032.31,3980.0,0.0,0.0,-8.85,100.0,306.0
1042.33,3890.0,0.0,0.0,26.4,100.0,311.0
1052.35,3870.0,0.0,0.0,7.9,100.0,309.0
1062.37,3920.0,0.0,0.0,-15.8,100.0,307.0
1072.4,3960.0,0.0,0.0,-13.5,100.0,309.0
1082.42,3950.0,0.0,0.0,1.82,100.0,313.0
1092.44,3930.0,0.0,0.0,5.57,100.0,315.0
1102.46,3940.0,0.0,0.0,-0.999,100.0,315.0
1112.49,3950.0,0.0,0.0,-4.32,100.0,315.0
1122.51,3950.0,0.0,0.0,-1.81,100.0,316.0
1132.53,3950.0,0.0,0.0,1.11,100.0,317.0
1142.55,4660.0,0.0,0.0,-348.0,100.0,322.0
1152.58,6220.0,0.0,0.0,-431.0,100.0,429.0
1162.6,6720.0,0.0,0.0,-38.2,100.0,633.0
1172.62,5390.0,0.0,0.0,482.0,100.0,751.0
1182.64,6080.0,0.0,0.0,-218.0,100.0,751.0
1192.67,6760.0,0.0,0.0,-111.0,100.0,836.0
1202.69,6970.0,3240.0,0.0,-322.0,100.0,997.0
