time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
0.0,0.0,0.0,0.0
10.0224,0.000718,0.0,0.0
20.0448,0.00253,0.0,0.0
30.0672,0.00449,0.0,0.0
40.0896,0.00651,0.0,0.0
50.112,0.00856,0.0,0.0
60.1344,0.0106,0.0,0.0
70.1568,0.0129,0.0,0.0
80.1792,0.0152,0.0,0.0
90.2016,0.0172,0.0,0.0
100.224,0.0192,0.0,0.0
110.246,0.0212,0.0,0.0
120.269,0.0233,0.0,0.0
130.291,0.0255,0.0,0.0
140.314,0.0276,0.0,0.0
150.336,0.0297,0.0,0.0
160.358,0.0318,0.0,0.0
170.381,0.0337,0.0,0.0
180.403,0.0358,0.0,0.0
190.426,0.0379,0.0,0.0
200.448,0.04,0.0,0.0
210.47,0.0421,0.0,0.0
220.493,0.0443,0.0,0.0
230.515,0.0463,0.0,0.0
240.538,0.0483,0.0,0.0
250.56,0.0503,0.0,0.0
260.582,0.0524,0.0,0.0
270.605,0.0545,0.0,0.0
280.627,0.0566,0.0,0.0
290.65,0.0587,0.0,0.0
300.672,0.0608,0.0,0.0
310.694,0.0628,0.0,0.0
320.717,0.0649,0.0,0.0
330.739,0.0669,0.0,0.0
340.762,0.069,0.0,0.0
350.784,0.0711,0.0,0.0
360.806,0.0732,0.0,0.0
370.829,0.0753,0.0,0.0
380.851,0.0774,0.0,0.0
390.874,0.0794,0.0,0.0
400.896,0.0814,0.0,0.0
410.918,0.0835,0.0,0.0
420.941,0.0856,0.0,0.0
430.963,0.0876,0.0,0.0
440.986,0.0897,0.0,0.0
451.008,0.0918,0.0,0.0
461.03,0.0939,0.0,0.0
471.053,0.0959,0.0,0.0
481.075,0.098,0.0,0.0
491.098,0.1,0.0,0.0
501.12,0.102,0.0,0.0
511.142,0.104,0.0,0.0
521.165,0.106,0.0,0.0
531.187,0.108,0.0,0.0
541.21,0.111,0.0,0.0
551.232,0.113,0.0,0.0
561.254,0.115,0.0,0.0
571.277,0.117,0.0,0.0
581.299,0.119,0.0,0.0
591.322,0.121,0.0,0.0
601.344,0.123,0.0,0.0
611.366,0.125,0.0,0.0
621.389,0.127,0.0,0.0
631.411,0.129,0.0,0.0
641.434,0.131,0.0,0.0
651.456,0.133,0.0,0.0
661.478,0.135,0.0,0.0
671.501,0.137,0.0,0.0
681.523,0.14,0.0,0.0
691.546,0.142,0.0,0.0
701.568,0.144,0.0,0.0
711.59,0.146,0.0,0.0
721.613,0.148,0.0,0.0
731.635,0.15,0.0,0.0
