time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
0.0,0.0,0.0,0.0
10.0224,0.000228,0.0,0.0
20.0448,0.000803,0.0,0.0
30.0672,0.00142,0.0,0.0
40.0896,0.00207,0.0,0.0
50.112,0.00272,0.0,0.0
60.1344,0.00337,0.0,0.0
70.1568,0.00411,0.0,0.0
80.1792,0.00481,0.0,0.0
90.2016,0.00546,0.0,0.0
100.224,0.0061,0.0,0.0
110.246,0.00673,0.0,0.0
120.269,0.0074,0.0,0.0
130.291,0.00808,0.0,0.0
140.314,0.00877,0.0,0.0
150.336,0.00944,0.0,0.0
160.358,0.0101,0.0,0.0
170.381,0.0107,0.0,0.0
180.403,0.0114,0.0,0.0
190.426,0.012,0.0,0.0
200.448,0.0127,0.0,0.0
210.47,0.0134,0.0,0.0
220.493,0.014,0.0,0.0
230.515,0.0147,0.0,0.0
240.538,0.0153,0.0,0.0
250.56,0.016,0.0,0.0
260.582,0.0166,0.0,0.0
270.605,0.0173,0.0,0.0
280.627,0.018,0.0,0.0
290.65,0.0186,0.0,0.0
300.672,0.0193,0.0,0.0
310.694,0.0199,0.0,0.0
320.717,0.0206,0.0,0.0
330.739,0.0212,0.0,0.0
340.762,0.0219,0.0,0.0
350.784,0.0226,0.0,0.0
360.806,0.0232,0.0,0.0
370.829,0.0239,0.0,0.0
380.851,0.0246,0.0,0.0
390.874,0.0252,0.0,0.0
400.896,0.0259,0.0,0.0
410.918,0.0265,0.0,0.0
420.941,0.0272,0.0,0.0
430.963,0.0278,0.0,0.0
440.986,0.0285,0.0,0.0
451.008,0.0291,0.0,0.0
461.03,0.0298,0.0,0.0
471.053,0.0305,0.0,0.0
481.075,0.0311,0.0,0.0
491.098,0.0318,0.0,0.0
501.12,0.0324,0.0,0.0
511.142,0.0331,0.0,0.0
521.165,0.0337,0.0,0.0
531.187,0.0344,0.0,0.0
541.21,0.0351,0.0,0.0
551.232,0.0357,0.0,0.0
561.254,0.0364,0.0,0.0
571.277,0.037,0.0,0.0
581.299,0.0377,0.0,0.0
591.322,0.0383,0.0,0.0
601.344,0.039,0.0,0.0
611.366,0.0397,0.0,0.0
621.389,0.0403,0.0,0.0
631.411,0.041,0.0,0.0
641.434,0.0417,0.0,0.0
651.456,0.0423,0.0,0.0
661.478,0.043,0.0,0.0
671.501,0.0436,0.0,0.0
681.523,0.0443,0.0,0.0
691.546,0.045,0.0,0.0
701.568,0.0456,0.0,0.0
711.59,0.0463,0.0,0.0
721.613,0.0469,0.0,0.0
731.635,0.0476,0.0,0.0
741.658,0.0483,0.0,0.0
751.68,0.049,0.0,0.0
761.702,0.0496,0.0,0.0
771.725,0.0503,0.0,0.0
781.747,0.051,0.0,0.0
791.77,0.0517,0.0,0.0
801.792,0.0523,0.0,0.0
811.814,0.053,0.0,0.0
821.837,0.0537,0.0,0.0
831.859,0.0544,0.0,0.0
841.882,0.0551,0.0,0.0
851.904,0.0559,0.0,0.0
861.926,0.0566,0.0,0.0
871.949,0.0575,0.0,0.0
881.971,0.0584,0.0,0.0
891.994,0.0593,0.0,0.0
902.016,0.0602,0.0,0.0
912.038,0.0611,0.0,0.0
922.061,0.0623,0.0,0.0
932.083,0.0636,0.0,0.0
942.106,0.0649,0.0,0.0
952.128,0.0661,0.0,0.0
962.15,0.067,0.0,0.0
972.173,0.0676,0.0,0.0
982.195,0.0684,0.0,0.0
992.218,0.0694,0.0,0.0
1002.24,0.0704,0.0,0.0
1012.26,0.0712,0.0,0.0
1022.28,0.0721,0.0,0.0
1032.31,0.073,0.0,0.0
1042.33,0.0739,0.0,0.0
1052.35,0.0748,0.0,0.0
1062.37,0.0757,0.0,0.0
1072.4,0.0765,0.0,0.0
1082.42,0.0774,0.0,0.0
1092.44,0.0783,0.0,0.0
1102.46,0.0792,0.0,0.0
1112.49,0.0801,0.0,0.0
1122.51,0.081,0.0,0.0
1132.53,0.0819,0.0,0.0
1142.55,0.0828,0.0,0.0
1152.58,0.0837,0.0,0.0
1162.6,0.085,0.0,0.0
1172.62,0.0865,0.0,0.0
