time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
0.0,0.0,0.0,0.0,100.0,100.0,0.0
10.0224,2360.0,0.0,0.0,-3.71,100.0,-3.5e-06
20.0448,2650.0,0.0,0.0,-0.247,100.0,-3.03e-05
30.0672,2780.0,0.0,0.0,-0.612,100.0,-0.000234
40.0896,2840.0,0.0,0.0,-1.04,100.0,-0.00102
50.112,2870.0,0.0,0.0,-1.31,100.0,-0.00281
60.1344,3590.0,0.0,0.0,-428.0,100.0,-0.00587
70.1568,3210.0,0.0,0.0,-42.9,100.0,0.0192
80.1792,2960.0,0.0,0.0,83.7,100.0,0.653
90.2016,2810.0,0.0,0.0,83.8,100.0,1.31
100.224,2740.0,0.0,0.0,4.36,100.0,0.88
110.246,2860.0,0.0,0.0,-37.1,100.0,0.193
120.269,2960.0,0.0,0.0,-44.6,100.0,-0.0196
130.291,3040.0,0.0,0.0,-31.4,100.0,-0.301
140.314,3000.0,0.0,0.0,11.7,100.0,-0.704
150.336,2870.0,0.0,0.0,46.8,100.0,-0.708
160.358,2780.0,0.0,0.0,31.8,100.0,-0.39
170.381,2800.0,0.0,0.0,-0.123,100.0,-0.132
180.403,2860.0,0.0,0.0,-20.4,100.0,-0.0224
190.426,2930.0,0.0,0.0,-30.4,100.0,0.00172
200.448,3010.0,0.0,0.0,-27.9,100.0,0.0631
210.47,2990.0,0.0,0.0,3.89,100.0,0.251
220.493,2890.0,0.0,0.0,37.3,100.0,0.55
230.515,2810.0,0.0,0.0,28.8,100.0,0.657
240.538,2810.0,0.0,0.0,2.86,100.0,0.431
250.56,2860.0,0.0,0.0,-13.1,100.0,0.138
260.582,2890.0,0.0,0.0,-15.8,100.0,0.00476
270.605,2930.0,0.0,0.0,-15.3,100.0,-0.0517
280.627,2940.0,0.0,0.0,-6.65,100.0,-0.195
290.65,2920.0,0.0,0.0,8.69,100.0,-0.332
300.672,2870.0,0.0,0.0,18.3,100.0,-0.335
310.694,2840.0,0.0,0.0,12.9,100.0,-0.227
320.717,2840.0,0.0,0.0,1.77,100.0,-0.108
330.739,2860.0,0.0,0.0,-7.17,100.0,-0.0309
340.762,2890.0,0.0,0.0,-11.7,100.0,-0.000525
350.784,2930.0,0.0,0.0,-15.3,100.0,0.022
360.806,2950.0,0.0,0.0,-9.3,100.0,0.107
370.829,2930.0,0.0,0.0,7.56,100.0,0.254
380.851,2880.0,0.0,0.0,20.0,100.0,0.398
390.874,2840.0,0.0,0.0,14.2,100.0,0.411
400.896,2840.0,0.0,0.0,2.12,100.0,0.275
410.918,2860.0,0.0,0.0,-6.15,100.0,0.109
420.941,2880.0,0.0,0.0,-8.2,100.0,0.0143
430.963,2900.0,0.0,0.0,-8.33,100.0,-0.00981
440.986,2910.0,0.0,0.0,-5.87,100.0,-0.0641
451.008,2910.0,0.0,0.0,3.03,100.0,-0.15
461.03,2880.0,0.0,0.0,9.97,100.0,-0.189
471.053,2860.0,0.0,0.0,8.53,100.0,-0.155
481.075,2850.0,0.0,0.0,2.33,100.0,-0.0852
491.098,2870.0,0.0,0.0,-4.63,100.0,-0.0242
501.12,2890.0,0.0,0.0,-10.7,100.0,3.41e-05
511.142,2930.0,0.0,0.0,-16.4,100.0,0.0437
521.165,2960.0,0.0,0.0,-11.6,100.0,0.186
531.187,2940.0,0.0,0.0,6.39,100.0,0.426
541.21,2890.0,0.0,0.0,20.9,100.0,0.664
551.232,2850.0,0.0,0.0,16.0,100.0,0.722
561.254,2840.0,0.0,0.0,4.1,100.0,0.566
571.277,2860.0,0.0,0.0,-3.68,100.0,0.341
581.299,2870.0,0.0,0.0,-4.98,100.0,0.175
591.322,2880.0,0.0,0.0,-3.48,100.0,0.0921
601.344,2880.0,0.0,0.0,-2.46,100.0,0.0659
611.366,2890.0,0.0,0.0,-3.6,100.0,0.081
621.389,2910.0,0.0,0.0,-6.28,100.0,0.149
631.411,2930.0,0.0,0.0,-8.3,100.0,0.305
641.434,2940.0,0.0,0.0,-5.78,100.0,0.574
651.456,2930.0,0.0,0.0,1.88,100.0,0.922
661.478,2910.0,0.0,0.0,8.89,100.0,1.23
671.501,2890.0,0.0,0.0,9.35,100.0,1.39
681.523,2880.0,0.0,0.0,4.43,100.0,1.36
691.546,2880.0,0.0,0.0,-0.883,100.0,1.26
701.568,2890.0,0.0,0.0,-4.42,100.0,1.2
711.59,2910.0,0.0,0.0,-6.68,100.0,1.26
721.613,2930.0,0.0,0.0,-8.13,100.0,1.49
731.635,2950.0,0.0,0.0,-7.95,100.0,1.93
741.658,2960.0,0.0,0.0,-5.16,100.0,2.56
751.68,2960.0,0.0,0.0,-0.834,100.0,3.32
761.702,2950.0,0.0,0.0,1.95,100.0,4.07
771.725,2950.0,0.0,0.0,1.11,100.0,4.75
781.747,2960.0,0.0,0.0,-2.64,100.0,5.41
791.77,2980.0,0.0,0.0,-7.22,100.0,6.19
801.792,3010.0,0.0,0.0,-10.8,100.0,7.29
811.814,3040.0,0.0,0.0,-12.3,100.0,8.88
821.837,3070.0,0.0,0.0,-11.5,100.0,11.0
831.859,3090.0,0.0,0.0,-9.56,100.0,13.7
841.882,3110.0,0.0,0.0,-8.81,100.0,16.7
851.904,3260.0,0.0,0.0,-58.2,100.0,20.8
861.926,3560.0,0.0,0.0,-114.0,100.0,29.0
871.949,3890.0,0.0,0.0,-133.0,100.0,45.2
881.971,4080.0,0.0,0.0,-81.1,100.0,70.3
891.994,4010.0,0.0,0.0,16.2,100.0,100.0
902.016,3840.0,0.0,0.0,37.2,100.0,124.0
912.038,4480.0,0.0,0.0,-225.0,100.0,149.0
922.061,5370.0,0.0,0.0,-347.0,100.0,206.0
932.083,5870.0,0.0,0.0,-201.0,100.0,301.0
942.106,5600.0,0.0,0.0,81.7,100.0,405.0
952.128,4720.0,0.0,0.0,341.0,100.0,466.0
962.15,3070.0,0.0,0.0,731.0,100.0,440.0
972.173,3160.0,0.0,0.0,-45.7,100.0,298.0
982.195,4020.0,0.0,0.0,-294.0,100.0,240.0
992.218,4400.0,0.0,0.0,-163.0,100.0,275.0
1002.24,3990.0,0.0,0.0,118.0,100.0,323.0
1012.26,3690.0,0.0,0.0,108.0,100.0,320.0
1022.28,3800.0,0.0,0.0,-25.2,100.0,299.0
1032.31,3960.0,0.0,0.0,-56.5,100.0,295.0
1042.33,3960.0,0.0,0.0,-5.24,100.0,304.0
1052.35,3880.0,0.0,0.0,26.1,100.0,309.0
1062.37,3860.0,0.0,0.0,6.55,100.0,307.0
1072.4,3910.0,0.0,0.0,-15.0,100.0,305.0
1082.42,3940.0,0.0,0.0,-11.6,100.0,307.0
1092.44,3930.0,0.0,0.0,2.62,100.0,311.0
1102.46,3910.0,0.0,0.0,5.14,100.0,312.0
1112.49,3920.0,0.0,0.0,-1.02,100.0,311.0
1122.51,3930.0,0.0,0.0,-3.75,100.0,312.0
1132.53,3930.0,0.0,0.0,-1.34,100.0,313.0
1142.55,3930.0,0.0,0.0,1.16,100.0,314.0
1152.58,4820.0,0.0,0.0,-415.0,100.0,322.0
1162.6,6270.0,0.0,0.0,-383.0,100.0,443.0
1172.62,6740.0,0.0,0.0,-54.1,100.0,647.0
1182.64,5330.0,0.0,0.0,434.0,100.0,749.0
1192.67,6170.0,0.0,0.0,-265.0,100.0,748.0
1202.69,6780.0,0.0,0.0,-93.6,100.0,843.0
1212.71,6970.0,3100.0,0.0,-234.0,100.0,1010.0
1222.73,7060.0,3300.0,0.0,-82.1,100.0,1150.0
1232.76,7090.0,3430.0,0.0,-58.6,100.0,1270.0
1242.78,7100.0,3950.0,0.0,-190.0,100.0,1370.0
1252.8,7100.0,4500.0,0.0,-224.0,100.0,1500.0
1262.82,7110.0,5120.0,0.0,-268.0,100.0,1660.0
1272.84,7110.0,5890.0,0.0,-314.0,100.0,1840.0
1282.87,7110.0,6530.0,0.0,-279.0,100.0,2050.0
1292.89,7110.0,6880.0,0.0,-90.6,100.0,2270.0
1302.91,7110.0,7020.0,3250.0,-637.0,100.0,2500.0
1312.93,7110.0,7080.0,2580.0,0.465,100.0,2710.0
1322.96,7110.0,7100.0,2640.0,0.73,100.0,2840.0
1332.98,7110.0,7100.0,2660.0,0.73,100.0,2920.0
1343.0,7110.0,7110.0,2670.0,0.73,100.0,2990.0
1353.02,7110.0,7110.0,2670.0,0.73,100.0,3040.0
1363.05,7110.0,7110.0,2680.0,0.73,100.0,3070.0
1373.07,7110.0,7110.0,2680.0,0.73,100.0,3100.0
1383.09,7110.0,7110.0,2680.0,0.73,100.0,3120.0
1393.11,7110.0,7110.0,2680.0,0.73,100.0,3130.0
1403.14,7110.0,7110.0,2680.0,0.73,100.0,3150.0
1413.16,7110.0,7110.0,2680.0,0.73,100.0,3150.0
1423.18,7110.0,7110.0,2680.0,0.73,100.0,3160.0
1433.2,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1443.23,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1453.25,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1463.27,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1473.29,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1483.32,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1493.34,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1503.36,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1513.38,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1523.4,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1533.43,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1543.45,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1553.47,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1563.49,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1573.52,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1583.54,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1593.56,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1603.58,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1613.61,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1623.63,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1633.65,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1643.67,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1653.7,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1663.72,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1673.74,7110.0,7110.0,2680.0,0.73,100.0,3180.0
